file,N,loadtype_code,loadtype,g_val,k_val,n_points,span,depth,shallow_flag,best_fit,decisive,catenary_r2,catenary_aic,catenary_bic,parabolic_r2,parabolic_aic,parabolic_bic,elliptical_r2,elliptical_aic,elliptical_bic
arch_run12_2_g-0.1_k25.0.csv,12,2,asymmetric,-0.1,25,13,9.9996,2.2488,FALSE,parabolic,FALSE,0.94467,-38.513,-36.818,0.94782,-39.275,-37.58,0.94782,-37.273,-35.014
arch_run12_2_g-0.1_k50.0.csv,12,2,asymmetric,-0.1,50,13,9.9994,1.7516,FALSE,parabolic,FALSE,0.94754,-45.677,-43.982,0.94957,-46.188,-44.493,0.94956,-44.186,-41.927
arch_run12_2_g-0.3_k10.0.csv,12,2,asymmetric,-0.3,10,13,9.9997,3.1985,FALSE,parabolic,FALSE,0.93928,-28.194,-26.499,0.94492,-29.461,-27.766,0.94492,-27.459,-25.2
arch_run12_2_g-0.3_k25.0.csv,12,2,asymmetric,-0.3,25,13,9.9996,2.2488,FALSE,parabolic,FALSE,0.94467,-38.513,-36.818,0.94782,-39.275,-37.58,0.94782,-37.273,-35.014
arch_run12_2_g-0.3_k50.0.csv,12,2,asymmetric,-0.3,50,13,9.9994,1.7516,FALSE,parabolic,FALSE,0.94754,-45.677,-43.982,0.94957,-46.188,-44.493,0.94956,-44.186,-41.927
arch_run12_2_g-0.5_k10.0.csv,12,2,asymmetric,-0.5,10,13,9.9997,3.1985,FALSE,parabolic,FALSE,0.93928,-28.194,-26.499,0.94492,-29.461,-27.766,0.94492,-27.459,-25.2
arch_run12_2_g-0.5_k25.0.csv,12,2,asymmetric,-0.5,25,13,9.9996,2.2488,FALSE,parabolic,FALSE,0.94467,-38.513,-36.818,0.94782,-39.275,-37.58,0.94782,-37.273,-35.014
arch_run12_2_g-0.5_k50.0.csv,12,2,asymmetric,-0.5,50,13,9.9994,1.7516,FALSE,parabolic,FALSE,0.94754,-45.677,-43.982,0.94957,-46.188,-44.493,0.94956,-44.186,-41.927
arch_run12_2_g-0.7_k10.0.csv,12,2,asymmetric,-0.7,10,13,9.9997,3.1985,FALSE,parabolic,FALSE,0.93928,-28.194,-26.499,0.94492,-29.461,-27.766,0.94492,-27.459,-25.2
arch_run12_2_g-0.7_k25.0.csv,12,2,asymmetric,-0.7,25,13,9.9996,2.2488,FALSE,parabolic,FALSE,0.94467,-38.513,-36.818,0.94782,-39.275,-37.58,0.94782,-37.273,-35.014
