x,y,z
0.0007321866103662253,0.0,-0.00010499560537610896
0.49804068517922795,0.0,-0.06462696474880474
0.9961698140563426,0.0,-0.12245214289269749
1.4950318149570652,0.0,-0.1735491665887606
1.994537730700433,0.0,-0.21789026548863294
2.4945975791888544,0.0,-0.25545091879410176
2.9951204083262395,0.0,-0.2862110524978952
3.4960145916328416,0.0,-0.3101528887300408
3.997187786761121,0.0,-0.3272643437063538
4.498547285008752,0.0,-0.3375346565819065
4.999999999999999,0.0,-0.3409590612752629
5.501452714991247,0.0,-0.3375346565819065
6.002812213238879,0.0,-0.3272643437063538
6.503985408367159,0.0,-0.31015288873004093
7.004879591673761,0.0,-0.28621105249789497
7.505402420811146,0.0,-0.2554509187941012
8.005462269299567,0.0,-0.21789026548863225
8.504968185042936,0.0,-0.17354916658875963
9.003830185943658,0.0,-0.1224521428926964
9.501959314820775,0.0,-0.06462696474880421
9.999267813389633,0.0,-0.00010499560537621302
