x,y,z
3.648028873687001e-05,0.0,-2.4999969821762766e-05
0.2083684178009907,0.0,-0.1427950362162402
0.41670035638825115,0.0,-0.28556507012090526
0.6250322940155799,0.0,-0.4283351041537054
0.8333642254551635,0.0,-0.5711051457097369
1.041696152527669,0.0,-0.7138751919038214
1.2500280691969732,0.0,-0.8566452518654134
1.4583599640341374,0.0,-0.9994153433350708
1.6666918328082423,0.0,-1.142185473423773
1.8750236787770653,0.0,-1.2849556375090858
2.083355508352141,0.0,-1.427725825254463
2.291687325030646,0.0,-1.5704960298258561
2.500019129267971,0.0,-1.7132662478261385
2.7083509203220775,0.0,-1.856036477185052
2.916682699725752,0.0,-1.9988067141940753
3.1250144688868566,0.0,-2.1415769570329566
3.333346227599266,0.0,-2.2843472072761726
3.541677974920235,0.0,-2.427117467942865
3.750009714299038,0.0,-2.5698877350059703
3.958341446880449,0.0,-2.7126580076517226
4.166673171037588,0.0,-2.855428289806222
4.375004886942311,0.0,-2.998198581512165
4.583336596464933,0.0,-3.1409688802674025
4.791668300850533,0.0,-3.283739186118272
4.999999999999998,0.0,-3.4265094998105123
5.208331699149462,0.0,-3.2837391861182734
5.416663403535064,0.0,-3.140968880267403
5.624995113057686,0.0,-2.9981985815121655
5.833326828962409,0.0,-2.855428289806222
6.041658553119549,0.0,-2.7126580076517226
6.249990285700961,0.0,-2.5698877350059695
6.458322025079764,0.0,-2.427117467942864
6.666653772400734,0.0,-2.284347207276171
6.8749855311131425,0.0,-2.141576957032954
7.083317300274248,0.0,-1.998806714194073
7.2916490796779225,0.0,-1.856036477185049
7.4999808707320295,0.0,-1.7132662478261358
7.708312674969355,0.0,-1.5704960298258543
7.916644491647861,0.0,-1.427725825254461
8.124976321222936,0.0,-1.2849556375090831
8.333308167191761,0.0,-1.1421854734237702
8.541640035965866,0.0,-0.9994153433350678
8.74997193080303,0.0,-0.8566452518654115
8.958303847472335,0.0,-0.7138751919038193
9.166635774544842,0.0,-0.5711051457097357
9.374967705984425,0.0,-0.4283351041537022
9.583299643611754,0.0,-0.2855650701209011
9.791631582199015,0.0,-0.14279503621623682
9.999963519711264,0.0,-2.4999969821761685e-05
