x,y,z
0.00031937718333955526,0.0,-0.00023593085870154013
0.40435297077212345,0.0,-0.2860536462502568
0.813405875294865,0.0,-0.5626142565873552
1.2274643025917757,0.0,-0.829594555542405
1.6464992896943003,0.0,-1.0866632894391306
2.0704652799024097,0.0,-1.3334822692283272
2.4992987763903862,0.0,-1.5697075946412309
2.9329168850814225,0.0,-1.794991373499739
3.3712160637533697,0.0,-2.008983461703474
3.814070964523502,0.0,-2.2113334678993537
4.2613334136246275,0.0,-2.4016930205500913
4.712831550359578,0.0,-2.579718334286366
5.168369206966468,0.0,-2.7450729820915982
5.640307406944789,0.0,-2.8424967703520077
6.120332300568871,0.0,-2.8664398618294697
6.598523829673497,0.0,-2.8154285335559113
7.065340003388221,0.0,-2.6925485712944055
7.513404411234,0.0,-2.5044582373184463
7.938282018448404,0.0,-2.2595849955828498
8.338230354994447,0.0,-1.9664658721157589
8.71344031239648,0.0,-1.6327366931117893
9.065246867217875,0.0,-1.264746893358661
9.395531199911726,0.0,-0.8675620452255477
9.706341281495648,0.0,-0.4451374823229108
9.999680621737399,0.0,-0.0005340696275224078
